Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB 2,396,2011-12-25,0,<null>,<null>,<null>,0,0,324.4 NO,323.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-26,0,<null>,<null>,<null>,0,0,320.8 NO,323.1 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-27,0,<null>,<null>,<null>,0,0,324.2 NO,323.9 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-28,0,<null>,<null>,<null>,0,0,325.5 NO,325.5 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-29,0.3,<null>,<null>,<null>,0,0,325.5 NO,323.7 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-30,0,<null>,<null>,<null>,0,0,325.3 NO,323.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2011-12-31,0,<null>,<null>,<null>,0,0,319.8 NO,322.1 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-01,0,<null>,<null>,<null>,0,0,324.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-02,0,<null>,<null>,<null>,0,0,328.7 NO,305.3 O,<null>,12.85,<null>,<null>,
CEPAB 2,396,2012-01-03,0,<null>,<null>,<null>,0,0,274.1 O,292.5 O,<null>,21.65,<null>,<null>,
CEPAB 2,396,2012-01-04,0,<null>,<null>,<null>,0,0,308.8 O,318.3 NO,<null>,6.3,<null>,<null>,
CEPAB 2,396,2012-01-05,0,<null>,<null>,<null>,0,0,325.3 NO,324.7 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-06,0,<null>,<null>,<null>,0,0,327.4 NO,326.9 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-07,0,<null>,<null>,<null>,0,0,324.7 NO,324.1 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-08,0,<null>,<null>,<null>,0,0,325.3 NO,324.5 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-09,0,<null>,<null>,<null>,0,0,325.5 NO,325 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-10,0,<null>,<null>,<null>,0,0,325.2 NO,324.7 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-11,0.3,<null>,<null>,<null>,0,0,325.5 NO,324.6 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-12,0.3,<null>,<null>,<null>,0,0,325.3 NO,323.9 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-13,0.3,<null>,<null>,<null>,0,0,324.4 NO,323.8 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-14,0,<null>,<null>,<null>,0,0,325.3 NO,325.1 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-15,0,<null>,<null>,<null>,0,0,326.6 NO,327.9 NO,<null>,<null>,<null>,<null>,
CEPAB 2,396,2012-01-16,0,<null>,<null>,<null>,0,0,325.5 NO,324 NO,<null>,<null>,<null>,<null>,
